actent,adapt_actor_grad_norm_mean,adapt_actor_loss_mean,adapt_actor_steps_mean,adapt_actor_update_rms_mean,adapt_adapt_triggers_mean,bounded_value,canonical_stage,checkpoint_kind,complete,condition,deaths,discordant_harmed,discordant_improved,episode_count_exact,episodes,family,goal,horizon,integrity_equal,last_step,logdir,mean_action_length,median_action_length,objective,paired_delta_ci_high,paired_delta_ci_low,paired_delta_vs_original_frozen,policy_mode,repaired_checkpoint,requested_episodes,reset_count,returncode,seed,source_checkpoint,success_rate,successes
0.0,nan,nan,nan,nan,nan,False,stage4a,original,True,original_frozen,0,0,0,True,100,original,kill_goblin,0,True,12586,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/original_frozen/kill_goblin/sampled/attempt_01,124.86,150.0,standard,0.0,0.0,0.0,sampled,original,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.55,55
0.0,nan,nan,nan,nan,nan,False,stage4a,original,True,original_frozen,0,0,0,True,50,original,kill_goblin,0,True,6826,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/original_frozen/kill_goblin/deterministic/attempt_01,135.52,186.5,standard,0.0,0.0,0.0,deterministic,original,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.54,27
0.0,nan,nan,nan,nan,nan,False,stage4a,original,True,original_frozen,0,0,0,True,100,original,bury_bones,0,True,10530,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/original_frozen/bury_bones/sampled/attempt_01,104.3,113.0,standard,0.0,0.0,0.0,sampled,original,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.69,69
0.0,nan,nan,nan,nan,nan,False,stage4a,original,True,original_frozen,0,0,0,True,50,original,bury_bones,0,True,6331,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/original_frozen/bury_bones/deterministic/attempt_01,125.62,185.5,standard,0.0,0.0,0.0,deterministic,original,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.52,26
0.0,nan,nan,nan,nan,nan,False,stage4a,original,True,original_frozen,0,0,0,True,100,original,chop_logs,0,True,9094,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/original_frozen/chop_logs/sampled/attempt_01,89.94,72.0,standard,0.0,0.0,0.0,sampled,original,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.85,85
0.0,nan,nan,nan,nan,nan,False,stage4a,original,True,original_frozen,0,0,0,True,50,original,chop_logs,0,True,4974,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/original_frozen/chop_logs/deterministic/attempt_01,98.48,80.0,standard,0.0,0.0,0.0,deterministic,original,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.72,36
0.0003,0.03925418142634741,0.0019912485044239524,138.57,1.208201954994681e-05,138.57,False,stage4a,original,True,original_standard_h6,0,27,18,True,100,original_standard,kill_goblin,6,True,13957,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/original_standard_h6/kill_goblin/sampled/attempt_01,138.57,200.0,standard,0.04,-0.22,-0.09,sampled,original,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.46,46
0.0003,0.03318150019154579,0.0031551739441974726,118.9,1.28907907890427e-05,118.9,False,stage4a,original,True,original_standard_h6,0,8,16,True,50,original_standard,kill_goblin,6,True,5995,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/original_standard_h6/kill_goblin/deterministic/attempt_01,118.9,104.5,standard,0.34,-0.02,0.16,deterministic,original,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.7,35
0.0003,0.04246195300708463,-0.00015629646999481574,193.21,1.1232071862493233e-05,193.21,False,stage4a,original,True,original_standard_h6,0,64,2,True,100,original_standard,bury_bones,6,True,19421,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/original_standard_h6/bury_bones/sampled/attempt_01,193.21,200.0,standard,-0.52,-0.72,-0.62,sampled,original,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.07,7
0.0003,0.03578283846496198,-0.0008280627738361052,195.02,1.1069162143108314e-05,195.02,False,stage4a,original,True,original_standard_h6,0,25,1,True,50,original_standard,bury_bones,6,True,9801,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage4a_counterfactual_head_repair/eval/original_standard_h6/bury_bones/deterministic/attempt_01,195.02,200.0,standard,-0.32,-0.62,-0.48,deterministic,original,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.04,2
